# FaceTracer Dataset v1.0 - facelabels.txt - http://www.cs.columbia.edu/CAVE/databases/facetracer/
# Format: face_id	attribute	label
11601	age	baby
11637	age	baby
11638	age	baby
11640	age	baby
11641	age	baby
11642	age	baby
11643	age	baby
11644	age	baby
11646	age	baby
11647	age	baby
11648	age	baby
11649	age	baby
11650	age	baby
11651	age	baby
11652	age	baby
11688	age	baby
11703	age	baby
11739	age	baby
11748	age	baby
11789	age	baby
11795	age	baby
11798	age	baby
11806	age	baby
12239	age	baby
12268	age	baby
12280	age	baby
12332	age	baby
12335	age	baby
12337	age	baby
12338	age	baby
12340	age	baby
12503	age	baby
12504	age	baby
12507	age	baby
12508	age	baby
12509	age	baby
12511	age	baby
12836	age	baby
12870	age	baby
12964	age	baby
12971	age	baby
12973	age	baby
12976	age	baby
12977	age	baby
12980	age	baby
13000	age	baby
13144	age	baby
13363	age	baby
13453	age	baby
13480	age	baby
13481	age	baby
13482	age	baby
13489	age	baby
13491	age	baby
13493	age	baby
13631	age	baby
13633	age	baby
13734	age	baby
13735	age	baby
13736	age	baby
13737	age	baby
13738	age	baby
13739	age	baby
13788	age	baby
13791	age	baby
14001	age	baby
14096	age	baby
14097	age	baby
14098	age	baby
14099	age	baby
14102	age	baby
14103	age	baby
14104	age	baby
14105	age	baby
14106	age	baby
14107	age	baby
14108	age	baby
14109	age	baby
14110	age	baby
14111	age	baby
14195	age	baby
14198	age	baby
14200	age	baby
14201	age	baby
14202	age	baby
14203	age	baby
14205	age	baby
14266	age	baby
14290	age	baby
14291	age	baby
14292	age	baby
14293	age	baby
14294	age	baby
14321	age	baby
14453	age	baby
14470	age	baby
14471	age	baby
14472	age	baby
14473	age	baby
14474	age	baby
14507	age	baby
14509	age	baby
14524	age	baby
14533	age	baby
14541	age	baby
14566	age	baby
14567	age	baby
14570	age	baby
14571	age	baby
14591	age	baby
14605	age	baby
14606	age	baby
14607	age	baby
14608	age	baby
14617	age	baby
14630	age	baby
14690	age	baby
14691	age	baby
14700	age	baby
14703	age	baby
14704	age	baby
14705	age	baby
14706	age	baby
14710	age	baby
14711	age	baby
14712	age	baby
14713	age	baby
14714	age	baby
14715	age	baby
14723	age	baby
14746	age	baby
14747	age	baby
14775	age	baby
14788	age	baby
14791	age	baby
14792	age	baby
14793	age	baby
14802	age	baby
14812	age	baby
14813	age	baby
14828	age	baby
14839	age	baby
14851	age	baby
14852	age	baby
14855	age	baby
14856	age	baby
14859	age	baby
14863	age	baby
14864	age	baby
14865	age	baby
14867	age	baby
14868	age	baby
14869	age	baby
14870	age	baby
14872	age	baby
14878	age	baby
14881	age	baby
14882	age	baby
14884	age	baby
14885	age	baby
14886	age	baby
14888	age	baby
14890	age	baby
14891	age	baby
14894	age	baby
14895	age	baby
14896	age	baby
14897	age	baby
14899	age	baby
14901	age	baby
14904	age	baby
14908	age	baby
14910	age	baby
14911	age	baby
14913	age	baby
14914	age	baby
14915	age	baby
14916	age	baby
14917	age	baby
14928	age	baby
14931	age	baby
14933	age	baby
14934	age	baby
14935	age	baby
14937	age	baby
14939	age	baby
14940	age	baby
14941	age	baby
14942	age	baby
14944	age	baby
14945	age	baby
14949	age	baby
14951	age	baby
14952	age	baby
14953	age	baby
14954	age	baby
14958	age	baby
14961	age	baby
14962	age	baby
14964	age	baby
474	age	child
5504	age	child
11631	age	child
11632	age	child
11634	age	child
11635	age	child
11731	age	child
11736	age	child
11753	age	child
11754	age	child
11758	age	child
11763	age	child
11764	age	child
11801	age	child
11837	age	child
11843	age	child
12059	age	child
12062	age	child
12063	age	child
12120	age	child
12121	age	child
12149	age	child
12151	age	child
12216	age	child
12225	age	child
12234	age	child
12235	age	child
12237	age	child
12240	age	child
12241	age	child
12271	age	child
12274	age	child
12275	age	child
12281	age	child
12399	age	child
12423	age	child
12430	age	child
12431	age	child
12432	age	child
12433	age	child
12434	age	child
12435	age	child
12437	age	child
12438	age	child
12457	age	child
12458	age	child
12459	age	child
12469	age	child
12525	age	child
12556	age	child
12557	age	child
12560	age	child
12561	age	child
12577	age	child
12676	age	child
12756	age	child
12765	age	child
12819	age	child
12824	age	child
12830	age	child
12834	age	child
12838	age	child
12847	age	child
12848	age	child
12867	age	child
12939	age	child
12940	age	child
12941	age	child
12944	age	child
12946	age	child
12956	age	child
12958	age	child
12974	age	child
12975	age	child
12979	age	child
12981	age	child
12993	age	child
12994	age	child
12995	age	child
12999	age	child
13006	age	child
13007	age	child
13009	age	child
13019	age	child
13020	age	child
13023	age	child
13041	age	child
13050	age	child
13087	age	child
13150	age	child
13155	age	child
13162	age	child
13163	age	child
13248	age	child
13249	age	child
